School / District,English: Standard Met or Exceeded 2018,English: Standard Met or Exceeded 2019,English: Percentage Changed,Math: Standard Met or Exceeded 2018,Math: Standard Met or Exceeded 2019,Math: Percentage Changed,IsSchool
Montebello High,44.68,43.35,-1.33,13.12,14.64,1.52,1
Kernville Union Elementary School District,26.22,37.1,10.88,15.97,20.36,4.39,0
Ontario High,64.17,51.61,-12.56,34.29,27.47,-6.82,1
Blair High,46.15,40.26,-5.89,30.46,25.58,-4.88,1
Sebastian Questa Elementary,70.04,71.51,1.47,65.72,71.81,6.09,1
Emerson Community Charter,43.85,46.75,2.9,35.74,35.78,0.04,1
Stone Valley Middle,80.3,74.96,-5.34,75.97,69,-6.97,1
Will C. Wood Middle,59.64,56.02,-3.62,46.86,41.5,-5.36,1
Veterans Elementary,61.08,65.95,4.87,59.56,66.49,6.93,1
Oak Grove Elementary,79.14,78.1,-1.04,67.42,71.15,3.73,1
KIPP Comienza Community Prep,69.37,68.04,-1.33,67.76,65.89,-1.87,1
River Islands Technology Academy II,67.57,64.52,-3.05,53.64,55.02,1.38,1
Edison High,62.55,61.58,-0.97,38.36,30.7,-7.66,1
Woodbridge High,80.76,77.92,-2.84,70.76,69.42,-1.34,1
Challenger School of Sports and Fitness,31.86,29.44,-2.42,21.99,21.01,-0.98,1
General Grant Middle,54.43,58.26,3.83,45.13,50.9,5.77,1
Ponderosa Elementary,19.38,18.53,-0.85,14.41,12.59,-1.82,1
Michael G. Wickman Elementary,77.8,75.82,-1.98,71.53,71.58,0.05,1
Yorba Middle,44.12,43.56,-0.56,27.4,30.4,3,1
El Toro High,70.17,72.16,1.99,45.42,51.71,6.29,1
West Creek Academy,79.63,81.8,2.17,71.35,74.91,3.56,1
Cooper Middle,48.46,44.5,-3.96,27.77,32.37,4.6,1
Anthony W. Ochoa Middle,43.84,39.35,-4.49,36.78,33.69,-3.09,1
Menlo-Atherton High,56.03,73.82,17.79,46.35,55.32,8.97,1
Ontiveros (Juan Pacifico) Elementary,45.45,48.81,3.36,41.49,44.22,2.73,1
Mesquite Trails Elementary,49.47,52.35,2.88,44.01,46.1,2.09,1
Santa Clarita Valley International,50.11,55.78,5.67,27.98,36.41,8.43,1
Francisco Middle,51.9,50.38,-1.52,54.93,50.18,-4.75,1
Alliance Marine - Innovation and Technology 6-12 Complex,54.69,58.12,3.43,39.67,42.15,2.48,1
Golden Valley High,51.03,50.09,-0.94,13.37,15.15,1.78,1
Riverbank Elementary,26.27,28.13,1.86,16.04,16.64,0.6,1
Herbert H. Cruickshank Middle,53.15,48.55,-4.6,32.73,29.11,-3.62,1
Hawking S.T.E.A.M. Charter,55.19,47.46,-7.73,43.03,38.34,-4.69,1
Helix High,82.73,78.44,-4.29,72.83,72.46,-0.37,1
Monterey Trail High,60,60.91,0.91,26.56,33.88,7.32,1
Zela Davis,47,39.56,-7.44,39.96,33.7,-6.26,1
Harmon Johnson Elementary,28.92,33.15,4.23,26.54,32.07,5.53,1
Giano Intermediate,27.3,29.1,1.8,15.98,25.54,9.56,1
Oak Ridge High,72.37,75.45,3.08,62.52,68.38,5.86,1
Otay Ranch Senior High,73.08,74.27,1.19,36.43,34.81,-1.62,1
Monta Vista High,88.97,85.95,-3.02,90.05,89.11,-0.94,1
Inderkum High,49.68,57.95,8.27,24.36,31.57,7.21,1
University Preparatory,83.95,84.94,0.99,67.59,62.07,-5.52,1
Lakeside,48.29,46.82,-1.47,26.62,27.69,1.07,1
Hosler Middle,28.71,32.3,3.59,12.46,15.61,3.15,1
Alexander Hamilton Senior High,48.15,59.85,11.7,19.51,22.34,2.83,1
Hector G. Godinez,46.72,49.82,3.1,33.39,36.25,2.86,1
Claremont High,73.44,72.13,-1.31,51.56,51.91,0.35,1
Rancho Bernardo High,66.72,81,14.28,53.69,73.27,19.58,1
Cole Canyon Elementary,72.09,74.36,2.27,67.08,74.73,7.65,1
George Washington Elementary,57.33,58,0.67,40.38,44.63,4.25,1
Lisa J. Mails Elementary,62.76,64.3,1.54,55.58,61.57,5.99,1
Ocean View Hills,55.91,57.3,1.39,44.39,52.64,8.25,1
Bernhard Marks Elementary,20.72,24.59,3.87,15.85,19.67,3.82,1
Arvin High,54.5,50.18,-4.32,13.54,12.77,-0.77,1
Stockdale High,70.83,74.64,3.81,41.35,41.68,0.33,1
"Joseph Widmer, Jr., Elementary",42.91,41.14,-1.77,30.36,22.99,-7.37,1
Lick (James) Middle,23.61,24.77,1.16,15.97,15.56,-0.41,1
Southport Elementary,59.74,61.1,1.36,40.45,47.17,6.72,1
Burroughs High,68.39,66.97,-1.42,43.34,43.67,0.33,1
Fontana High,60.46,62.02,1.56,20.39,23.76,3.37,1
Frontier High,65.46,64.84,-0.62,35.97,38.97,3,1
Hemet High,58.38,55.68,-2.7,21.21,19.85,-1.36,1
Jefferson Elementary,45.09,38.79,-6.3,36.45,30.77,-5.68,1
Maxine Hong Kingston Elementary,21.61,27.9,6.29,22.33,22.71,0.38,1
Excelsior Middle,53.75,47.34,-6.41,44.42,40.55,-3.87,1
Animo Jefferson Charter Middle,33.95,34.99,1.04,22.55,24.18,1.63,1
Summit High,61.51,67.47,5.96,28.43,30.09,1.66,1
Salt Creek Elementary,83.67,79.52,-4.15,71.04,73.39,2.35,1
Repetto Elementary,70.28,71.96,1.68,64.82,68.81,3.99,1
Highland High,46.97,36.28,-10.69,18.75,12.22,-6.53,1
Helendale Elementary School District,41.14,46.32,5.18,26.9,36.46,9.56,0
Valley View High,52.89,52.41,-0.48,23.47,23.71,0.24,1
Union Avenue Elementary,37,40.08,3.08,40.25,38.05,-2.2,1
Leonardo Da Vinci,63.14,67.34,4.2,51.09,53.68,2.59,1
Mira Costa High,82.77,82.1,-0.67,71.46,68.28,-3.18,1
Fair Oaks Ranch Community,63.64,57.01,-6.63,52.08,51.2,-0.88,1
Louis VanderMolen Fundamental Elementary,54.96,56.69,1.73,39.86,45.49,5.63,1
Village Elementary,18.49,20.63,2.14,10.08,11.01,0.93,1
San Ysidro High,46.78,43.42,-3.36,23.91,23.01,-0.9,1
Ronald Reagan Elementary,73.89,75.6,1.71,64.81,69.19,4.38,1
Mary Tsukamoto Elementary,45.9,45.57,-0.33,37.86,36.67,-1.19,1
Los Osos Middle,69.67,69.56,-0.11,56.99,55.35,-1.64,1
Pioneer Middle,53.03,58.12,5.09,38.75,41.51,2.76,1
Bullard High,47.06,45.74,-1.32,20.45,19.52,-0.93,1
Bullard Talent Project,59.85,58.6,-1.25,44.94,51.11,6.17,1
Roosevelt Middle,23.26,25.88,2.62,25.05,25.14,0.09,1
Templeton Middle,57.52,61.11,3.59,52.3,51.2,-1.1,1
Heritage Peak Charter,38.03,35.33,-2.7,19.44,21.23,1.79,1
Madison Elementary,31.53,33.02,1.49,28.62,29.26,0.64,1
George W. Bush Elementary,33.94,39.51,5.57,27.92,24.81,-3.11,1
Rosewood Park,28.75,29.07,0.32,20.25,21.52,1.27,1
"Shirakawa (George, Sr.) Elementary",59.58,53.7,-5.88,45.56,44.63,-0.93,1
University High,76.37,77.88,1.51,74.4,75.14,0.74,1
American High,86.67,88.68,2.01,73.57,70.26,-3.31,1
Jackson Street Elementary,41.79,37.36,-4.43,34.12,28.01,-6.11,1
San Jacinto High,47.72,31.9,-15.82,14.26,10.69,-3.57,1
Henry High,69.34,66.36,-2.98,50.1,46.18,-3.92,1
William S. Hart High,72.02,80.07,8.05,41.76,43.54,1.78,1
Ramona Elementary,63.12,59.62,-3.5,54.91,53.53,-1.38,1
North Elementary,28.24,25.61,-2.63,19.03,19.33,0.3,1
Portola Springs Elementary,82.19,81.31,-0.88,80.98,79.93,-1.05,1
Hilmar Middle,32.64,39.96,7.32,17.01,24.35,7.34,1
Mark Twain Elementary,32.92,35.7,2.78,26.33,24.72,-1.61,1
Glendora High,78.13,72.07,-6.06,55.74,63.87,8.13,1
James C. Enochs High,60.61,74.49,13.88,32.49,43.45,10.96,1
Silverado High,38.46,30.91,-7.55,6.92,5.96,-0.96,1
Lawndale High,46.15,50.56,4.41,15.54,16.04,0.5,1
Arlene Hein Elementary,72.07,66.79,-5.28,63.38,60.15,-3.23,1
Sundown Elementary,34.72,35.26,0.54,20.58,27.61,7.03,1
Hooper Avenue Elementary,24.46,24.81,0.35,20.54,14.71,-5.83,1
Accelerated,43.45,43.76,0.31,24.95,26.82,1.87,1
Parsons Junior High,40.66,40.78,0.12,28.63,29.53,0.9,1
Orcutt Junior High,54.96,54.56,-0.4,50.09,46,-4.09,1
John F. Kennedy High,70.88,80.78,9.9,37.67,46.44,8.77,1
Bennett Valley Union Elementary School District,65.16,65.92,0.76,59.89,59.7,-0.19,0
Roy Herburger Elementary,67.44,69.29,1.85,59.92,62.31,2.39,1
Rio Hondo Elementary,49.25,52.53,3.28,37.27,39.55,2.28,1
Haskell (Pliny Fisk) Middle,52.92,57.38,4.46,42.02,41.04,-0.98,1
Aspire Centennial College Preparatory Academy,54.78,47.19,-7.59,35.11,27.29,-7.82,1
Lyman Gilmore Middle,41.67,40.3,-1.37,34.41,31.53,-2.88,1
Dean L. Shively,54.12,47.57,-6.55,36.02,31.53,-4.49,1
Reef Sunset Middle,20.35,25.62,5.27,12.98,14.02,1.04,1
Seventy-Fifth Street Elementary,30.78,30.99,0.21,26.63,25.09,-1.54,1
Arthur C. Butler Elementary,58.49,58.41,-0.08,51.21,50.56,-0.65,1
Sundale Union Elementary School District,54.17,57.04,2.87,53.15,50.19,-2.96,0
Sundale Elementary,54.17,57.04,2.87,53.15,50.19,-2.96,1
Poway High,66.13,67.11,0.98,47.8,55.66,7.86,1
Oakley (Calvin C.) Elementary,18.29,21.86,3.57,12.86,11.82,-1.04,1
Phil D. Swing Elementary,34.26,39.36,5.1,32.68,32.08,-0.6,1
Neil Hafley Elementary,37.86,38.11,0.25,20.46,22.41,1.95,1
Del Mar Middle,81.87,86.12,4.25,78.42,81.13,2.71,1
Edgewood Middle,42.73,39.06,-3.67,24.55,22.14,-2.41,1
La Habra High,56.52,62.41,5.89,33.02,34.4,1.38,1
Franklin High,31.01,37.07,6.06,21.47,22.08,0.61,1
South Park Elementary,23.4,25.53,2.13,13.88,21.62,7.74,1
Bruce (Robert) Elementary,15.88,20.19,4.31,12.05,14.1,2.05,1
Sequoia Elementary,35.58,40.79,5.21,18.69,19.02,0.33,1
Animo Mae Jemison Charter Middle,34.13,36.6,2.47,21.93,21.99,0.06,1
Hazelton Elementary,18.82,23.19,4.37,7.34,14.5,7.16,1
Arthur E. Mills Intermediate,44.4,49.15,4.75,34.71,41.89,7.18,1
Palmdale High,28.98,28.41,-0.57,6.06,5.47,-0.59,1
Alhambra High,64.87,69.26,4.39,43.62,43.58,-0.04,1
C. K. McClatchy High,59.12,51.43,-7.69,35.17,33.58,-1.59,1
Irvington High,84.04,75.47,-8.57,72.58,73.4,0.82,1
Needles Unified School District,29,27.74,-1.26,24.02,22.12,-1.9,0
Cesar Chavez Elementary,25.81,27.55,1.74,21.31,19.47,-1.84,1
Jefferson Elementary,55.45,59.62,4.17,53.55,58.49,4.94,1
Edison Elementary,66.35,68.37,2.02,52.63,59.81,7.18,1
Foothill High,84.76,84.88,0.12,70.06,69.48,-0.58,1
Louis E. Stocklmeir Elementary,82.18,84.77,2.59,84.75,85.44,0.69,1
Hart-Ransom Elementary,59.69,58.41,-1.28,38.24,39.89,1.65,1
Ingrid B. Lacy Middle,58.46,57.39,-1.07,48.84,49.15,0.31,1
Fortune,38.78,45.18,6.4,37.26,45.9,8.64,1
Lancaster High,50.5,43.83,-6.67,13.25,12.95,-0.3,1
Mark Keppel High,75.04,74.19,-0.85,73.29,69.41,-3.88,1
Vista del Mar Elementary,83.3,81.94,-1.36,70.88,74.43,3.55,1
Edna Batey Elementary,63.38,64.64,1.26,62.68,59.47,-3.21,1
Discovery School of the Arts,54.95,54.92,-0.03,35.45,43.18,7.73,1
Kings River-Hardwick Union Elementary School District,72.78,72.92,0.14,60.15,62.69,2.54,0
Kings River-Hardwick Elementary,72.78,72.92,0.14,60.15,62.69,2.54,1
August Boeger Middle,41.34,44.04,2.7,21.19,19.51,-1.68,1
Granada High,66.67,67.36,0.69,51.99,49.9,-2.09,1
Del Norte High,72.85,86.69,13.84,67.74,82.14,14.4,1
Hope Elementary School District,68.01,69.64,1.63,59.78,60.53,0.75,0
Bill L. Williams Elementary,51.75,52.66,0.91,38.39,45.54,7.15,1
Grimmway Academy,35.05,46.11,11.06,30.86,33.4,2.54,1
Shasta Elementary,45.87,46.96,1.09,36.73,33.59,-3.14,1
Scotts Valley Middle,72.03,76.85,4.82,66.67,67.55,0.88,1
Alder Creek Middle,63.24,62.17,-1.07,57.4,52.18,-5.22,1
Pico Canyon Elementary,85.45,84.79,-0.66,81.75,83.08,1.33,1
Pine Hollow Middle,52.43,48.95,-3.48,36.17,38.93,2.76,1
Challenger Middle,22.55,26.62,4.07,13.18,12.76,-0.42,1
Solana Pacific Elementary,87.8,84.98,-2.82,83.56,84.41,0.85,1
Excelsior Elementary,75.1,73.76,-1.34,64.83,61.41,-3.42,1
North Hollywood Senior High,68.3,72.55,4.25,37.2,46.83,9.63,1
Oak Hills High,37.83,55.75,17.92,33.27,38.29,5.02,1
Sunny Hills High,72.63,71.95,-0.68,54.46,58.59,4.13,1
Irene B. West Elementary,61.26,59.08,-2.18,48.1,47.62,-0.48,1
"Jimenez, Roberto and Dr. Francisco Elementary School",38.12,38.49,0.37,27.58,36.45,8.87,1
Ramon S. Tafoya Elementary,42.36,41.43,-0.93,31.57,28,-3.57,1
Sequoia Middle,48.61,47.81,-0.8,41.3,38.99,-2.31,1
Jordan High,30.05,25.1,-4.95,10.68,9.77,-0.91,1
Cupertino High,83.45,80.92,-2.53,78.95,84.1,5.15,1
Camino Nuevo Elementary #3,24.08,29.77,5.69,14.53,26.58,12.05,1
Santa Rosa Middle,,40.46,,,24.95,,1
De Anza Middle,27.61,32.31,4.7,27.08,25.67,-1.41,1
Lakeview Junior High,48.38,52.1,3.72,42.94,39.5,-3.44,1
Live Oak Middle,36.72,48.47,11.75,30.99,34.54,3.55,1
Corona High,67.45,67.88,0.43,31.5,33.53,2.03,1
Helen Carr Castello Elementary,67.29,62.19,-5.1,63.65,58.62,-5.03,1
Joseph George Middle,35.43,34.37,-1.06,21.02,17.24,-3.78,1
Pinole Middle,32.06,34.42,2.36,18.93,18.99,0.06,1
North Star Academy,95.86,96.18,0.32,95.67,95.6,-0.07,1
Fillmore Elementary,25.64,29.98,4.34,20.5,20.69,0.19,1
Brookside,67.37,68.33,0.96,62.86,66.67,3.81,1
Joe Michell,60.08,63.22,3.14,44.9,47.32,2.42,1
Castaic Middle,63.65,64.11,0.46,34.54,37.74,3.2,1
West Ranch High,86.92,89.25,2.33,60.88,68.85,7.97,1
Newport Harbor High,62.73,65.96,3.23,40.86,41.07,0.21,1
Encore Jr./Sr. High School for the Performing and Visual Arts,39.63,45.49,5.86,9.96,12.88,2.92,1
Orchard Park,44.98,42.61,-2.37,30.48,30.25,-0.23,1
Wicklund Elementary,65.23,63.97,-1.26,58.88,63.34,4.46,1
Bloomington High,44.93,39.42,-5.51,15.56,14.53,-1.03,1
Miller (Isaac) Elementary,29.12,30.06,0.94,20.65,21.92,1.27,1
Sierra Madre Middle,66.13,67.88,1.75,60.77,58.85,-1.92,1
Carlsbad High,60.39,68.67,8.28,49.79,58.33,8.54,1
Edith B. Storey Elementary,50.19,51.54,1.35,40.23,44.89,4.66,1
Fairmead Elementary,33.54,36.03,2.49,19.76,21.81,2.05,1
Villa Park High,68.17,64.99,-3.18,35.29,28.32,-6.97,1
Adolfo Camarillo High,69.92,60,-9.92,46.89,41.99,-4.9,1
Pioneer Elementary,47.33,47.3,-0.03,32.15,37.26,5.11,1
La Tijera K-8 Charter School Academy of Excellence,41.06,33.4,-7.66,25.77,17.76,-8.01,1
Davis Middle,24.16,23.94,-0.22,11.94,12.62,0.68,1
Reginald M. Benton Middle,43.75,51.46,7.71,20.11,27.66,7.55,1
Mendota Junior High,31.43,40.28,8.85,21.71,23.94,2.23,1
Oceanside High,44.73,44.4,-0.33,25.49,24.25,-1.24,1
Tracy High,53.5,62.6,9.1,27.67,28.96,1.29,1
Klamath-Trinity Joint Unified School District,15.32,17.12,1.8,9.74,10.57,0.83,0
Strathmore Union Elementary School District,32.46,35.01,2.55,22.6,25,2.4,0
Strathmore Elementary,32.46,35.01,2.55,22.6,25,2.4,1
Vineyard Elementary,45.61,49.22,3.61,33.52,35.98,2.46,1
Marina del Rey Middle,26.07,24.95,-1.12,16.34,13.42,-2.92,1
Burton Middle,27.35,36.17,8.82,11.37,15.47,4.1,1
Mira Mesa High,74.17,81.4,7.23,48.42,53.41,4.99,1
Cerritos High,84.6,84.08,-0.52,63.25,64.85,1.6,1
Dwight D. Eisenhower Elementary,72.29,70.49,-1.8,64.15,65.12,0.97,1
Hacienda Elementary,23.17,25.1,1.93,15.81,18.41,2.6,1
Wilmer Amina Carter High,56.02,55.56,-0.46,28.23,29.71,1.48,1
Canyon High,83.49,80.27,-3.22,44.11,41.36,-2.75,1
Bret Harte Elementary,14.72,13.58,-1.14,10.64,10.87,0.23,1
Warwick Elementary,76.06,77.73,1.67,73.23,73.4,0.17,1
Walnut Grove Elementary,32.34,33.27,0.93,20.26,19.3,-0.96,1
Hall Middle,77.93,75.74,-2.19,69.54,69.9,0.36,1
Murrieta Valley High,66.18,73.58,7.4,36.78,45.94,9.16,1
John Marshall Senior High,69.77,70.18,0.41,36.5,43.33,6.83,1
Patriot High,53.13,56.45,3.32,24.85,26.65,1.8,1
Joseph A. Gregori High,59.7,52.72,-6.98,27.5,28.79,1.29,1
Carlmont High,84.1,85.52,1.42,71.37,73.89,2.52,1
Greenville Fundamental Elementary,47.7,43.39,-4.31,45.21,44.55,-0.66,1
New Designs Charter,47.57,47.86,0.29,28.04,23.35,-4.69,1
Mesa Middle,47.16,45.51,-1.65,31.12,30.91,-0.21,1
Central Middle,80.11,82.49,2.38,76.57,78.36,1.79,1
Vista High,51.01,56.92,5.91,19.59,17.3,-2.29,1
Monterey Ridge Elementary,82.67,83.63,0.96,84.66,84.21,-0.45,1
Voorhies Elementary,35.57,39.88,4.31,23.05,29.82,6.77,1
Maeola E. Beitzel Elementary,51.83,49.61,-2.22,41.39,39.96,-1.43,1
Anthony C. Traina Elementary,53.29,56.16,2.87,39.19,37.62,-1.57,1
Santa Fe Computer Science Magnet,54.01,50.49,-3.52,38.67,34.77,-3.9,1
Santa Maria High,42.44,44.73,2.29,23.89,24.31,0.42,1
Garden Grove High,69.57,70.06,0.49,46.03,46.97,0.94,1
Capistrano Valley High,66.6,70.7,4.1,41.68,43.11,1.43,1
Ben Hulse Elementary,51.38,53.94,2.56,45.28,42.58,-2.7,1
Nueva Vista Elementary,41.99,47.05,5.06,34.67,41.02,6.35,1
Edwin Markham Elementary,38.07,41.57,3.5,26.67,30.72,4.05,1
Ethan B. Allen Elementary,91.73,90.63,-1.1,90.29,91.21,0.92,1
Gompers K-8,44.14,51.56,7.42,36.18,38.48,2.3,1
Bartlett Middle,25.24,28.32,3.08,16.67,15.63,-1.04,1
Foothill Middle,30.39,35.16,4.77,16.85,24.12,7.27,1
Silver Creek High,75.75,75.1,-0.65,55.81,53.71,-2.1,1
Longfellow Elementary,63.54,66.14,2.6,57.72,58.63,0.91,1
Esparto Unified School District,27.12,31.9,4.78,19.83,19.61,-0.22,0
Veterans Elementary,74.51,71.85,-2.66,69.57,63.8,-5.77,1
Sandra Tovar Medeiros Elementary,50.43,50.89,0.46,43.76,45.69,1.93,1
La Cumbre Junior High,51.89,49.9,-1.99,37.8,34.91,-2.89,1
Rio Bravo-Greeley Elementary,48.78,53.14,4.36,34.29,36.01,1.72,1
Los Altos High,81.82,84.9,3.08,70.49,70.61,0.12,1
Grant Elementary,38.54,45.1,6.56,35.63,41.96,6.33,1
David Reese Elementary,33.47,33.47,0,22.38,20.39,-1.99,1
George Visual and Performing Arts Magnet and Middle,51.95,53.44,1.49,31.69,36.86,5.17,1
Alvin Elementary,26.06,34.34,8.28,18.47,27.11,8.64,1
Sherwood Elementary,24.04,29.26,5.22,20.99,20.43,-0.56,1
Ross (Betsy) Elementary,27.19,32.6,5.41,19.4,21.81,2.41,1
Edwin Rhodes Elementary,69.32,72.78,3.46,67.24,67.58,0.34,1
Jefferson Middle,25,29.08,4.08,20.21,18.66,-1.55,1
Natomas Pacific Pathways Prep Middle,66.47,62.87,-3.6,56.02,53.63,-2.39,1
Westlake High,70.06,67.13,-2.93,54.15,53.35,-0.8,1
Glendale High,56.26,50.3,-5.96,34.39,31.1,-3.29,1
Edison High,32.87,38.11,5.24,11.75,12.44,0.69,1
Merrill F. West High,57.2,65.02,7.82,25.26,31.69,6.43,1
Ninety-Third Street Elementary,22.03,26.18,4.15,15.59,25.1,9.51,1
Walnut Elementary Education Center,62.08,63.98,1.9,53.89,55.12,1.23,1
San Lorenzo Valley Middle,49.6,51.88,2.28,35.54,36.44,0.9,1
Granite Hills High,46.28,54.55,8.27,35.73,41.62,5.89,1
Henry Miller Elementary,32.55,32.34,-0.21,18.43,19.53,1.1,1
Rice (William) Elementary,38.48,34.13,-4.35,35.7,30.57,-5.13,1
Cooper Elementary,61.91,59.88,-2.03,55.26,49.31,-5.95,1
Terrace Middle,34.24,31.09,-3.15,27.97,20.4,-7.57,1
Shoreline Middle,51.78,48.32,-3.46,33.58,38.46,4.88,1
El Rancho High,59.49,56.32,-3.17,29.89,30.65,0.76,1
La Quinta High,79.66,83.27,3.61,70.75,71.74,0.99,1
East Bakersfield High,44.17,37.3,-6.87,14.52,16.01,1.49,1
Lomita Math/Science/Technology Magnet,61.9,63.04,1.14,51.84,60.28,8.44,1
International Studies Learning Center at Legacy High School Complex,51.81,49.11,-2.7,28.71,28.06,-0.65,1
Balboa Gifted/High Ability Magnet Elementary,92.86,87.75,-5.11,86.11,88.14,2.03,1
Academies of the Antelope Valley,57.11,48.22,-8.89,31.95,23.61,-8.34,1
Fallbrook Union High School District,51.54,49.31,-2.23,24.02,21.39,-2.63,0
Mark Keppel Elementary,72.96,70.63,-2.33,57.94,63.1,5.16,1
R. M. Miano Elementary,42.86,38.45,-4.41,35,39.41,4.41,1
Buena Vista Elementary,53.83,56.04,2.21,41.01,48.02,7.01,1
Planada Elementary School District,31.72,35.32,3.6,12.55,19.41,6.86,0
Fernando Rivera Intermediate,68.83,58.2,-10.63,53.54,38.61,-14.93,1
Edison High,85.04,82.54,-2.5,56.18,54.95,-1.23,1
San Elijo Elementary,81.51,80.36,-1.15,72.11,74.01,1.9,1
Santa Monica Boulevard Community Charter,46,41.26,-4.74,31.63,36.51,4.88,1
Prairie Elementary,36.86,38.29,1.43,25.47,29.37,3.9,1
Valentine Peyton Elementary,44.84,47.82,2.98,33.96,42.66,8.7,1
Isabelle Jackson Elementary,40.4,38.92,-1.48,26.96,27.98,1.02,1
Val Verde Elementary,38.27,36.25,-2.02,23.47,19.68,-3.79,1
Westpark Elementary,80.17,79.64,-0.53,77.94,76.79,-1.15,1
California Virtual Academy at Sutter,37.21,37.02,-0.19,18.18,14,-4.18,1
KIPP Los Angeles College Preparatory,72.39,73.02,0.63,70.55,72.22,1.67,1
Eisenhower Senior High,34.1,41.83,7.73,18.55,19.2,0.65,1
Southwest High,57.65,62.62,4.97,19.73,24.8,5.07,1
Jim Thorpe Fundamental,61.29,62.82,1.53,54.84,54.87,0.03,1
Hicks Canyon Elementary,75.37,75.51,0.14,79.61,75.35,-4.26,1
Temescal Valley Elementary,81.77,80.52,-1.25,73.61,76.34,2.73,1
Tierra Buena Elementary,54.97,64.8,9.83,30.49,34.79,4.3,1
Public Safety Academy,80.47,80.52,0.05,57.45,63.02,5.57,1
Roosevelt Elementary,32.46,31.2,-1.26,25.3,21.07,-4.23,1
John W. North High,37.11,42.08,4.97,19.22,22.95,3.73,1
Altamont Elementary,64.78,64,-0.78,52.99,60.36,7.37,1
Anaverde Hills,47.15,42.83,-4.32,27,21.2,-5.8,1
Northwood High,75.51,82.04,6.53,73.68,78.44,4.76,1
Galt Joint Union High School District,47.32,57.49,10.17,29.6,26.72,-2.88,0
Adam (William Laird) Elementary,25.87,27.66,1.79,24.33,26.95,2.62,1
John O. Tynes Elementary,59.72,56.83,-2.89,54.45,52.3,-2.15,1
Leroy Greene Academy,41.47,47.5,6.03,23.26,24.4,1.14,1
Moreno Valley High,28.12,47.29,19.17,14.48,15.06,0.58,1
Santa Fe High,59.65,60.32,0.67,33.14,40.6,7.46,1
Los Banos Elementary,29.16,30.69,1.53,18.52,19,0.48,1
Elliott Ranch Elementary,70.8,71.8,1,66.67,69.22,2.55,1
Brentwood Elementary,24.48,21.2,-3.28,13.09,12.27,-0.82,1
Nevada City Elementary School District,61.67,67.6,5.93,48.39,54.75,6.36,0
Benjamin Franklin Elementary,62.79,68.2,5.41,60.76,63.6,2.84,1
Pleasant Grove Middle,71.62,70.2,-1.42,52.62,50.91,-1.71,1
Ronald Reagan Elementary,28.07,28.37,0.3,26.53,29.8,3.27,1
Pajaro Middle,21.04,23.19,2.15,8.04,7,-1.04,1
Golden Valley High,67.01,70.79,3.78,40.08,37.68,-2.4,1
North Salinas High,45.4,50.5,5.1,17.79,25.51,7.72,1
Cesar Chavez Elementary,38.92,41.68,2.76,29.29,35.74,6.45,1
Tom Hawkins Elementary,58.17,51.31,-6.86,42.43,40.28,-2.15,1
Martin Luther King Jr. Technology Academy,13.43,23.9,10.47,7.21,6.65,-0.56,1
Colony High,59.84,60.24,0.4,37.6,34.54,-3.06,1
Mountain Vista Elementary,37.41,33.87,-3.54,21.95,20.68,-1.27,1
New West Charter,75.83,77.11,1.28,58.28,56.59,-1.69,1
SBE - New West Charter School District,75.83,77.11,1.28,58.28,56.59,-1.69,0
Cherry Avenue Middle,26.38,24.7,-1.68,19.93,15.69,-4.24,1
John F. Kennedy High,57.49,50.71,-6.78,22.74,27.97,5.23,1
Rocklin High,75.97,76.18,0.21,67.68,66.4,-1.28,1
Parkmont Elementary,83.94,88.1,4.16,82.15,82.7,0.55,1
Turtle Rock Elementary,89.43,84.69,-4.74,89.86,87.93,-1.93,1
North County Joint Union Elementary School District,64.94,65.73,0.79,52,49.9,-2.1,0
Spring Grove Elementary,64.94,65.73,0.79,52,49.9,-2.1,1
Edison Charter Academy,43.27,42.45,-0.82,34.5,28.57,-5.93,1
Crescent Elk Middle,26.76,32.8,6.04,20.39,23.99,3.6,1
Eagle Peak Middle,36.63,38.83,2.2,18.76,21.41,2.65,1
Taylor (Ida Redmond) Elementary,35.74,42.94,7.2,25.35,29.21,3.86,1
Beverly Vista Elementary,72.48,74.9,2.42,65.14,66.53,1.39,1
Akers Elementary,64.35,59.88,-4.47,52.94,46.06,-6.88,1
Marshall Middle,40.63,40.66,0.03,22.27,18.18,-4.09,1
Bell Senior High,56.15,54.95,-1.2,29.39,32.72,3.33,1
Quail Run Elementary,83.14,78.59,-4.55,84.13,81.78,-2.35,1
Susan B. Anthony Elementary,76.59,80.61,4.02,65.75,70.91,5.16,1
Lorena Falasco Elementary,38.25,33,-5.25,34.02,35.15,1.13,1
Cottonwood Elementary,28.18,27.07,-1.11,21.57,20.45,-1.12,1
Sycamore Hills Elementary,49.62,44.22,-5.4,33.96,36.03,2.07,1
Dry Creek Elementary,81.97,79.72,-2.25,78.66,77.53,-1.13,1
KIPP Sol Academy,65.18,66.06,0.88,53.44,55.87,2.43,1
Bear Creek High,46.19,56.3,10.11,32.36,32.66,0.3,1
Ybarra Academy for the Arts and Technology,61.16,58.69,-2.47,49.57,50.1,0.53,1
Simi Valley High,61.76,65.98,4.22,35.91,31.71,-4.2,1
Woodcreek High,71.76,75.2,3.44,52.86,49.38,-3.48,1
