School / District,English: Standard Met or Exceeded 2018,English: Standard Met or Exceeded 2019,English: Percentage Changed,Math: Standard Met or Exceeded 2018,Math: Standard Met or Exceeded 2019,Math: Percentage Changed,IsSchool
Moreland School District,69.21,69.4,0.19,63.55,63.74,0.19,0
Ukiah Unified School District,33.63,36.99,3.36,22.38,24.45,2.07,0
La Habra City Elementary School District,36.18,40.4,4.22,27.63,30.56,2.93,0
Garvey Elementary School District,56.36,58.73,2.37,53.54,58.07,4.53,0
Sulphur Springs Union School District,61.39,59.85,-1.54,50.1,49.8,-0.3,0
Encinitas Union Elementary School District,74.7,74.68,-0.02,70.79,70.68,-0.11,0
San Rafael City Elementary School District,42.91,43.62,0.71,37.32,38.01,0.69,0
National Elementary School District,43.07,42.49,-0.58,32.95,32.03,-0.92,0
Newark Unified School District,44.01,47.51,3.5,36.63,38.1,1.47,0
Los Altos Elementary School District,86.8,87.13,0.33,86.29,85.04,-1.25,0
Burton Elementary School District,39.14,41.97,2.83,26.82,30.68,3.86,0
Cotati-Rohnert Park Unified School District,47.68,45.62,-2.06,30.96,30.22,-0.74,0
Buena Park Elementary School District,43.65,44.86,1.21,37.17,40.25,3.08,0
Ramona City Unified School District,50.84,52.99,2.15,37.11,37.98,0.87,0
Travis Unified School District,57.16,56.06,-1.1,41.97,41.89,-0.08,0
Norris Elementary School District,60.62,58.14,-2.48,51.46,51.66,0.2,0
Little Lake City Elementary School District,57.18,55.99,-1.19,42.57,43.03,0.46,0
Belmont-Redwood Shores Elementary School District,79.81,81.95,2.14,77.33,79.24,1.91,0
Oakdale Joint Unified School District,50.05,51.39,1.34,37.22,39.9,2.68,0
Monrovia Unified School District,56.9,58.72,1.82,41.25,43.46,2.21,0
Santa Paula Unified School District,31.1,34.34,3.24,24.13,25.5,1.37,0
Kerman Unified School District,45.12,45.54,0.42,30.47,34.04,3.57,0
Visions In Education,48.02,47.25,-0.77,24.01,23.73,-0.28,1
Brawley Elementary School District,37.96,43.04,5.08,28.57,31.99,3.42,0
Whittier Union High School District,57.32,59.01,1.69,29.38,32.74,3.36,0
Romoland Elementary School District,42.89,43.31,0.42,33.31,35.09,1.78,0
Santa Rosa Elementary School District,,39.19,,,34.02,,0
Del Mar Union Elementary School District,86.24,86.15,-0.09,83.97,84.3,0.33,0
